Mois,Région,Production éolienne (GWh),Production solaire (GWh)
2018-07,Provence-Alpes-Côte d'Azur,4.974155,216.917216
2018-08,Normandie,68.92932,18.229187
2018-08,Bretagne,62.580559,25.29222
2018-08,Occitanie,207.660732,277.299754
2018-08,Provence-Alpes-Côte d'Azur,5.610687,195.089058
2018-09,Nouvelle-Aquitaine,101.178023,340.135799
2018-10,Normandie,123.33694,13.090737
2018-10,Auvergne-Rhône-Alpes,112.488257,85.120256
2018-10,Provence-Alpes-Côte d'Azur,11.013273,112.284642
2018-11,Île-de-France,10.751201,4.770701
2018-11,Normandie,165.797121,7.853788
2018-12,Île-de-France,15.24884,0.897192
2018-12,Hauts-de-France,983.350827,1.676
2018-12,Bretagne,213.147695,2.509485
2018-12,Nouvelle-Aquitaine,220.317124,66.532342
2019-01,Bretagne,132.838304,7.554247
2019-01,Auvergne-Rhône-Alpes,114.415129,38.791854
2019-02,Bourgogne-Franche-Comté,129.586202,23.078548
2019-02,Grand Est,573.878915,64.940166
2019-03,Normandie,236.264478,13.670316
2019-04,Centre-Val de Loire,169.911885,35.238296
2019-04,Auvergne-Rhône-Alpes,103.559745,114.282908
2019-04,Provence-Alpes-Côte d'Azur,9.932295,171.862762
2019-05,Bourgogne-Franche-Comté,122.129086,42.385101
2019-05,Pays de la Loire,129.910585,73.29085
2019-06,Île-de-France,8.990408,12.676048
2019-06,Hauts-de-France,512.470702,21.530085
2019-06,Nouvelle-Aquitaine,108.157182,399.471101
2019-06,Occitanie,219.831613,303.915959
2019-07,Normandie,82.691999,24.874222
2019-08,Hauts-de-France,453.061113,20.273028
2019-08,Bretagne,109.737528,29.813262
2019-08,Nouvelle-Aquitaine,87.713706,404.855953
2019-08,Auvergne-Rhône-Alpes,58.278444,151.787644
2019-09,Île-de-France,19.652009,11.499915
2019-09,Bourgogne-Franche-Comté,135.094556,38.834372
2019-09,Occitanie,249.202041,254.118017
2019-10,Centre-Val de Loire,266.877235,19.456974
2019-10,Bourgogne-Franche-Comté,184.648083,21.212078
2019-10,Occitanie,324.646759,167.069889
2019-12,Bourgogne-Franche-Comté,261.315629,12.768578
2019-12,Hauts-de-France,1309.812091,5.863095
2019-12,Auvergne-Rhône-Alpes,137.441565,46.830811
2019-12,Corse,1.080009,9.717492
2020-03,Île-de-France,29.586655,9.048646
2020-11,Île-de-France,19.670377,6.34295
2020-02,Bretagne,339.83173,13.15371
2020-08,Bretagne,118.037945,30.832391
2020-11,Bretagne,192.163386,12.627647
2020-06,Pays de la Loire,131.808137,74.763174
2020-10,Pays de la Loire,239.736307,37.988703
2020-03,Provence-Alpes-Côte d'Azur,9.189496,165.4529
2020-01,Corse,0.734355,11.67754
2020-02,Corse,1.573439,16.521819
2020-05,Corse,0.994118,23.142611
2020-08,Corse,0.830818,32.275496
2020-04,Hauts-de-France,611.080342,19.5731
2020-04,Centre-Val de Loire,176.649788,45.627306
2020-05,Centre-Val de Loire,213.923778,54.538296
2020-06,Centre-Val de Loire,157.162889,46.273439
2020-09,Centre-Val de Loire,172.703084,42.377413
2020-04,Normandie,101.358067,22.222567
2020-08,Normandie,111.318435,23.767661
2020-08,Nouvelle-Aquitaine,108.739616,415.079961
2020-09,Nouvelle-Aquitaine,117.832947,347.675045
2020-11,Nouvelle-Aquitaine,200.932064,196.353437
2020-12,Nouvelle-Aquitaine,319.342553,92.191323
2020-02,Auvergne-Rhône-Alpes,145.727063,73.763228
2020-08,Auvergne-Rhône-Alpes,64.822965,158.91594
2020-10,Auvergne-Rhône-Alpes,120.560285,74.477883
2020-11,Auvergne-Rhône-Alpes,96.130517,68.091234
2020-01,Occitanie,345.347404,98.285521
2020-10,Occitanie,373.62731,164.313786
2020-09,Grand Est,437.299662,63.346562
2020-02,Bourgogne-Franche-Comté,294.481382,19.83403
2020-04,Bourgogne-Franche-Comté,116.524461,43.328888
2014-01,Île-de-France,5.468484,1.564473
2014-01,Grand Est,535.484144,13.093452
2014-02,Bourgogne-Franche-Comté,51.005514,8.132176
2014-02,Normandie,166.27304,5.522769
2014-03,Bourgogne-Franche-Comté,25.048632,19.011925
2014-03,Normandie,74.898272,10.17223
2014-03,Pays de la Loire,81.315766,33.101792
2014-03,Auvergne-Rhône-Alpes,70.370852,59.53177
2014-03,Corse,3.274851,9.752518
2014-04,Île-de-France,2.027755,6.922223
2014-04,Normandie,53.503624,11.269918
2014-05,Provence-Alpes-Côte d'Azur,11.740191,118.835156
2014-06,Centre-Val de Loire,102.42917,25.705807
2014-06,Hauts-de-France,147.493081,16.61708
2014-06,Pays de la Loire,61.938496,49.312034
2014-06,Nouvelle-Aquitaine,52.393659,144.889385
2014-06,Provence-Alpes-Côte d'Azur,5.51231,116.815862
2014-06,Corse,2.024815,13.779009
2014-07,Île-de-France,1.990326,7.898689
2014-07,Centre-Val de Loire,84.160698,23.106066
2014-07,Normandie,47.240834,14.750033
2014-07,Grand Est,203.287131,54.499822
2014-07,Bretagne,65.71479,23.260039
2014-07,Occitanie,203.365498,149.353281
2014-08,Île-de-France,2.100076,7.529536
2014-08,Normandie,65.177013,12.933515
2014-08,Auvergne-Rhône-Alpes,38.554246,76.32003
2014-08,Provence-Alpes-Côte d'Azur,5.739234,128.429015
2014-09,Bourgogne-Franche-Comté,19.91691,21.96499
2014-09,Bretagne,48.237641,19.760008
2014-09,Provence-Alpes-Côte d'Azur,7.82584,98.008896
2014-10,Auvergne-Rhône-Alpes,52.679725,51.087375
2014-10,Corse,1.48515,10.95785
2014-11,Centre-Val de Loire,136.126685,7.559518
2014-11,Bourgogne-Franche-Comté,36.374662,7.691531
2014-11,Normandie,96.675519,4.010301
2014-11,Hauts-de-France,306.466174,4.220122
2014-11,Bretagne,125.144273,6.308616
2014-12,Pays de la Loire,105.148462,9.712829
2014-12,Bretagne,150.977571,4.439931
2014-12,Corse,1.819074,6.728177
2015-01,Centre-Val de Loire,224.189591,6.034027
2015-01,Hauts-de-France,534.661798,3.033987
